Rider,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DE MARCHI Alessandro,0,124,124,157,157,202,235,3139,5402,10025,10401,10802,11704,12009,14957
MARINO Jean Marc,0,1,341,524,524,529,2022,4916,11516,11625,12137,12137,13039,13039,20315
KADRI Blel,0,835,1701,1804,2812,3206,3206,10313,12805,12955,13451,13835,15102,14355,21631
RIBLON Christophe,0,1,341,444,444,449,449,1900,4500,4640,4948,5332,5332,5332,11019
GENIEZ Alexandre,0,1,1,42,42,47,1540,2503,4955,4955,5230,5230,10132,10132,12202
BENNATI Daniele,0,1,827,835,835,859,859,4006,10229,10324,10829,10829,10737,10737,13436
QUINZIATO Manuel,0,539,1405,1446,1446,1526,1545,4449,10455,10455,10812,10812,10812,10812,13511
VALVERDE Alejandro,0,1,1,20,20,25,25,125,125,125,325,325,1210,1210,1442
PINOT Thibaut,0,1,1,42,42,47,47,639,3131,3311,3627,3627,4529,4529,10525
GERRANS Simon,0,1,1,0,0,5,5,2859,4738,4914,5232,5232,5232,5232,11539
SIMON Julien,0,1,1,110,110,115,1608,4502,10954,11302,11728,11728,12613,11856,15105
OROZ Juan Jos,0,1244,2110,2233,2233,2238,2307,5201,10319,10319,10824,10824,11709,11709,13025
TIMMER Albert,0,1735,2650,2836,3844,3947,5440,12344,14836,15042,15407,15407,20634,20634,23513
ASTARLOZA Mikel,0,1,1,124,124,129,129,953,2111,2111,2521,2521,3748,3748,5502
O'GRADY Stuart,0,1735,2601,2706,3714,3931,5424,12531,15023,15213,15649,15920,20805,20805,23112
ROELANDTS Jurgen,0,1735,2650,2706,3449,3454,4947,12054,14654,14654,15158,15158,20043,20043,23319
DE GENDT Thomas,0,1735,2348,2448,2448,3006,4459,10238,12117,12233,12322,12650,13917,13917,15742
GADRET John,0,1,1,104,104,109,109,509,1627,1807,2312,2312,3214,3214,3710
GARCIA ECHEGUIBEL Egoitz,0,1244,2110,2229,2229,2747,4240,11144,13744,13744,14218,14218,15445,14728,21504
FRHLINGER Johannes,0,1735,2601,2747,2747,2752,4245,11139,13018,13158,13714,14014,14859,14859,21206
NAVARDAUSKAS Ramunas,0,1735,2601,2720,2720,2725,2725,5832,12432,12432,12808,12808,12808,12808,20044
